id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Jamal;Wilderman;Fredrick95@hotmail.com;instead ample whoever;2024-11-12T01:28:00;5244;30445
2;Maya;Reynolds;Alden.Cremin68@gmail.com;till sympathetically;2024-11-12T00:31:14;24194;10102
3;Belle;Quigley;Rosamond.Rolfson@gmail.com;spellcheck tune-up;2024-11-12T07:23:39;26335;18934
4;Dortha;Osinski-Cummerata;Will_Krajcik21@yahoo.com;unnaturally whoa deselect;2024-11-12T14:15:33;21097;20059
5;Wendell;Mosciski;Makenzie92@yahoo.com;during meager finally;2024-11-12T12:50:00;18568;22832
6;Isaiah;Collier;River_Sawayn@hotmail.com;yowza er fluffy;2024-11-12T14:09:16;9656;30363
7;Santino;Windler;Reilly_Davis50@hotmail.com;which;2024-11-12T03:02:36;28988;14398
8;Petra;Swift;Alexanne59@hotmail.com;tabletop;2024-11-12T04:20:37;1801;4297
9;Dell;Ritchie;Xavier.Wolf@hotmail.com;satisfy competent;2024-11-12T12:52:50;28757;4327
10;Rodrigo;Legros;Marianna_Schmitt47@hotmail.com;amongst;2024-11-11T14:44:54;30821;4521
